yaw: -152.79045137798056, pitch: 52.040799263594494, roll: 24.12149149474903
yaw: -152.84552456187288, pitch: 51.787647369688116, roll: 23.944354818524708
yaw: -152.38997017844613, pitch: 51.791405758962846, roll: 23.9054185264234
yaw: -152.66230662197682, pitch: 51.520774304943, roll: 23.600403402693864
yaw: -152.61029949682307, pitch: 51.655365782847525, roll: 23.695444886575757
yaw: -152.82649429807552, pitch: 51.79246698733253, roll: 23.630311021800896
yaw: -153.3618825356531, pitch: 51.29486189377776, roll: 23.336308638316904
yaw: -153.43479811011295, pitch: 51.027594982531966, roll: 23.21257221980588
yaw: -153.68719760912947, pitch: 50.230558327362274, roll: 22.848911855666326
yaw: -154.050345353649, pitch: 49.03541514798975, roll: 22.227461873518973
yaw: -154.24895623578652, pitch: 47.50238632778876, roll: 21.355270977934108
yaw: -154.3879467005268, pitch: 45.930694607593885, roll: 20.519987581702193
yaw: -154.412336598039, pitch: 44.574814160575656, roll: 19.46148678737618
yaw: -154.99886988917237, pitch: 43.13943874790882, roll: 18.38099044532555
yaw: -155.73447522937954, pitch: 41.716209009960124, roll: 17.122688504229437
yaw: -157.2885179992257, pitch: 40.705916798951876, roll: 15.936163969335116
yaw: -159.16608811570495, pitch: 39.36197482634908, roll: 14.82506027432664
yaw: -161.02935726301146, pitch: 37.927331040101436, roll: 13.191293694498032
yaw: -162.52008747482782, pitch: 36.26523702907817, roll: 11.814264273904364
yaw: -164.09853652528528, pitch: 34.92141665416166, roll: 10.54275434128542
yaw: -165.8251952429313, pitch: 32.374729875712326, roll: 8.712246190464114
yaw: -166.2629578729889, pitch: 30.807727366580103, roll: 7.6096644572470336
yaw: -166.78394559236577, pitch: 28.53281165700782, roll: 6.461935335927231
yaw: -167.3256604744122, pitch: 26.210340709372698, roll: 4.921198910362189
yaw: -170.2732746362213, pitch: 22.137855262044944, roll: 1.4568346474071827
yaw: -171.1191397330525, pitch: 19.566660977414593, roll: 0.36598409991437564
yaw: -165.9889601678065, pitch: -26.259868872987933, roll: -8.385563419497249
yaw: -163.47299693138686, pitch: -27.285026941704217, roll: -9.849587681971055
yaw: -152.06844027192736, pitch: -31.199131998152843, roll: -14.368702531835295
yaw: -152.1671067655708, pitch: -26.237738499064566, roll: -11.686082967042415
yaw: -152.1830132634044, pitch: -23.224273570638616, roll: -10.27694438444281
yaw: -151.98854769787476, pitch: -20.739549238279405, roll: -9.367432285580923
yaw: -151.86266040854557, pitch: -19.02733269707177, roll: -8.575507020871076
yaw: -153.58754628816885, pitch: -16.26522268983588, roll: -6.826094126816032
yaw: -158.49770717168468, pitch: 19.52597311873912, roll: 8.9714630598248
yaw: -160.0312950143011, pitch: 20.066559228512403, roll: 7.3518833089724
yaw: -161.04374862770905, pitch: 20.639978763652415, roll: 5.545011951340045
yaw: -160.23315946181887, pitch: 16.961274822300368, roll: 2.917400302603781
yaw: -155.90676505673048, pitch: 10.714911863273015, roll: 0.4301399318018068
yaw: -153.03947263218183, pitch: 10.321201085026727, roll: -1.0690302300049708
yaw: -148.90674499048978, pitch: 5.510368559458884, roll: -3.513617785326764
yaw: -147.88988806982923, pitch: 4.434885922976336, roll: -3.685116705036169
yaw: -144.59692530653223, pitch: 3.6784530399844395, roll: -2.3809074897430156
yaw: -148.1225897306257, pitch: -10.587570492685405, roll: -15.291669769492865
yaw: -154.1884584411115, pitch: -15.128033868232896, roll: -15.405711580737048
yaw: -158.24833991300974, pitch: -18.132664456432256, roll: -15.759571082578418
yaw: -162.19429839527942, pitch: -18.484038731839334, roll: -15.373749758076487
yaw: -163.822643823547, pitch: -16.875586712798604, roll: -14.26562755345504
yaw: -165.3003285342636, pitch: -16.93694222080572, roll: -12.58519159086839
yaw: -166.25317575218187, pitch: -15.238355669624028, roll: -9.468693130093913
yaw: -165.4430875180363, pitch: -13.750373830889245, roll: -6.713098386702786
yaw: -163.6087488648102, pitch: -14.428285643407774, roll: -4.514952449087968
yaw: -158.1295506506797, pitch: -12.036713148762948, roll: -2.7038544370164956
yaw: -154.65147168000402, pitch: -12.04797535170377, roll: -2.140675333000479
yaw: -154.353329622978, pitch: -8.997490333710573, roll: -2.8982661675932873
yaw: -151.96141222179222, pitch: -5.88187075181277, roll: -3.1158855846801234
yaw: -153.27006876887253, pitch: -6.161719397662383, roll: -2.7696047633184326
yaw: -154.15455734647205, pitch: -6.769595438554146, roll: -2.446336820012863
yaw: -158.68819982340398, pitch: -9.098920352685164, roll: -2.704831874703045
yaw: -161.97224575073335, pitch: -13.106268813922311, roll: -2.8760335038563674
yaw: -164.03367206211507, pitch: -16.15261740521, roll: -3.1076904574554494
yaw: -165.15190762128552, pitch: -17.642967865867313, roll: -3.710396970484979
yaw: -164.46939538778278, pitch: -17.928154694054673, roll: -3.8616949230672897
yaw: -163.40681481482238, pitch: -18.979415323085707, roll: -4.920728056530116
yaw: 164.82435683513748, pitch: 30.14943278159601, roll: -4.319225873838926
